AccountID,CustomerID,HasCard,OnlineChannel,EWalletConnected
a8cdf44d-7b74-4440-97db-4c2f1e158e2f,bdd640fb-0667-4ad1-9c80-317fa3b1799d,FALSE,Branch,TRUE
8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,23b8c1e9-3924-46de-beb1-3b9046685257,TRUE,Telesales,FALSE
f00f63ef-e59f-41c2-804e-a81ad3d877a8,23b8c1e9-3924-46de-beb1-3b9046685257,TRUE,Telesales,FALSE
6e76936a-a634-4d1a-adb6-10f4c65de86e,23b8c1e9-3924-46de-beb1-3b9046685257,TRUE,Branch,FALSE
dff47c51-5ed1-4e7f-abb1-f2bc85a4b0cb,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,FALSE,Telesales,TRUE
6dd013f3-87a2-4e22-b298-b8110b1ec578,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,TRUE,Telesales,FALSE
7b6c7129-cd63-4ba8-b03c-664b3abf9c65,972a8469-1641-4f82-8b9d-2434e465e150,FALSE,Online,FALSE
59bb8900-6198-4718-84c7-aab4ca20508d,17fc695a-07a0-4a6e-8822-e8f36c031199,TRUE,Telesales,TRUE
e869707c-bdcb-4ffc-8dfb-a4e996cbdafb,17fc695a-07a0-4a6e-8822-e8f36c031199,FALSE,Branch,TRUE
937ca77c-b25b-4de7-9652-1e08c2f43c10,17fc695a-07a0-4a6e-8822-e8f36c031199,TRUE,Online,TRUE
412817eb-2246-49cd-acec-df821903f9b3,9a1de644-815e-46d1-bb8f-aa1837f8a88b,TRUE,Branch,TRUE
e8fb5a96-3b85-46e1-840f-54057a25ed81,9a1de644-815e-46d1-bb8f-aa1837f8a88b,FALSE,Branch,FALSE
9929afeb-4884-4a14-9575-11addbeae9f8,9a1de644-815e-46d1-bb8f-aa1837f8a88b,TRUE,Online,FALSE
41ff81d1-689d-4205-8b31-f4d8e073c1d0,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,FALSE,Branch,TRUE
be5f902f-b58a-4738-8166-72213063ae7f,6b65a6a4-8b81-48f6-b38a-088ca65ed389,TRUE,Branch,TRUE
85c53910-93f6-4723-81d2-3a76ca179780,47378190-96da-4dac-b2ff-5d2a386ecbe0,FALSE,Branch,FALSE
6001f54d-01d7-4831-850f-1cdc1e2a03f1,47378190-96da-4dac-b2ff-5d2a386ecbe0,TRUE,Telesales,FALSE
cde5c35a-b011-4b0a-b496-51d6a79055b0,47378190-96da-4dac-b2ff-5d2a386ecbe0,TRUE,Online,TRUE
1b4909b6-5cbd-4682-a8aa-123650deef43,c241330b-01a9-471f-9e8a-774bcf36d58b,TRUE,Branch,FALSE
95dad216-a6cd-4e3c-ad13-0705279f91ab,c241330b-01a9-471f-9e8a-774bcf36d58b,TRUE,Branch,TRUE
893e2b89-dadf-4499-82e4-bf0140ee131d,c241330b-01a9-471f-9e8a-774bcf36d58b,TRUE,Telesales,FALSE
9ca4364d-5d9a-49f1-908e-3a956c6e8796,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,FALSE,Branch,TRUE
65bf8e04-ae3c-4ce6-bde6-849b468b22af,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,FALSE,Telesales,TRUE
8d56bff6-69c9-420f-b425-449cc145d6ba,371ecd7b-27cd-4130-8722-9389571aa876,FALSE,Branch,TRUE
2dc09158-7b83-41cf-8ebc-6d7ec8a65b85,1a2a73ed-562b-4f79-8374-59eef50bea63,TRUE,Online,FALSE
7bd7b4bf-8e0e-4bb7-8f20-c5e75ec646eb,1a2a73ed-562b-4f79-8374-59eef50bea63,FALSE,Online,FALSE
93e0f235-4e80-410b-bd0e-e0b640f7924b,1a2a73ed-562b-4f79-8374-59eef50bea63,FALSE,Telesales,FALSE
65ebd4dc-b49b-4b72-8631-9c165827bc1d,5be6128e-18c2-4797-a142-ea7d17be3111,FALSE,Telesales,FALSE
dd23ff41-dae1-4586-a358-755cbc5c3cd8,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,TRUE,Branch,TRUE
3ad24ac8-bf70-4042-9e7c-6795a8c6c2df,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,FALSE,Telesales,TRUE
f301bb6c-b306-4300-8879-d93272540ab7,759cde66-bacf-43d0-8b1f-9163ce9ff57f,TRUE,Telesales,TRUE
8222cd7f-36e6-4a85-99ab-dc15296b67bf,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,TRUE,Online,TRUE
cd04c001-56a3-4ccc-893c-9cc6668b28da,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,FALSE,Online,TRUE
af3f9d9a-b272-4aa7-9d30-c42e8cf29000,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,FALSE,Telesales,TRUE
639c4c6c-2926-405d-8d53-551ab4f02f6f,4b0dbb41-8d52-48f1-942c-3fe860e7a113,TRUE,Online,FALSE
cdeb2696-015a-4a1d-a2c8-cf62f6ee137d,4b0dbb41-8d52-48f1-942c-3fe860e7a113,FALSE,Online,TRUE
78bf46fa-2534-4e85-92c0-dec2175194d7,4b0dbb41-8d52-48f1-942c-3fe860e7a113,TRUE,Online,TRUE
1690636b-6f74-455d-99a9-af6aed054732,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,TRUE,Telesales,TRUE
5eef0d1e-38c5-4f5e-8359-ff43106793b6,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,FALSE,Branch,FALSE
