CustomerID,CustomerType,BranchID
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Business,1
23b8c1e9-3924-46de-beb1-3b9046685257,Individual,4
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Business,3
972a8469-1641-4f82-8b9d-2434e465e150,Business,9
17fc695a-07a0-4a6e-8822-e8f36c031199,Business,10
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Individual,1
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Business,2
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Business,4
47378190-96da-4dac-b2ff-5d2a386ecbe0,Business,9
c241330b-01a9-471f-9e8a-774bcf36d58b,Business,9
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Individual,4
371ecd7b-27cd-4130-8722-9389571aa876,Individual,10
1a2a73ed-562b-4f79-8374-59eef50bea63,Individual,1
5be6128e-18c2-4797-a142-ea7d17be3111,Business,7
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Individual,5
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Business,4
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Individual,2
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Business,7
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Business,6
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Individual,10
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Individual,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Individual,9
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Business,7
7412b293-4729-4739-a14f-f3d719db3ad0,Business,9
29a3b2e9-5d65-4441-9588-42dea2bc372f,Individual,10
ab9099a4-35a2-40ae-9af3-05535ec42e08,Individual,10
aefcfad8-efc8-4849-b3aa-7efe4458a885,Business,2
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Business,4
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Individual,2
451b4cf3-6123-4df7-b656-af7229d4beef,Business,2
